epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8197,2.98965,24.1395,2.15835,0.45675,0.06695,0.05771,0.03791,2.47315,23.4116,1.81296,0.00165638,0.00165638,0.0685288
2,60.3881,2.79903,20.2833,2.0393,0.38841,0.16947,0.12846,0.07495,2.24965,19.52,1.64465,0.00328985,0.00328985,0.0368289
3,91.4676,2.54559,17.1696,1.87467,0.45671,0.2698,0.27418,0.1284,2.41601,17.332,1.6849,0.00489002,0.00489002,0.00509578
4,123.077,2.39952,15.5563,1.75471,0.4156,0.4215,0.39444,0.19564,2.28498,14.0135,1.61461,0.00485015,0.00485015,0.00485015
5,152.754,2.3135,14.4334,1.72266,0.52983,0.40714,0.42292,0.20553,2.4231,13.1713,1.64405,0.0048002,0.0048002,0.0048002
6,184.324,2.34586,13.5501,1.69984,0.42379,0.4968,0.5048,0.23927,2.47886,14.1529,1.64064,0.00475025,0.00475025,0.00475025
7,214.146,2.24681,12.8119,1.63843,0.48349,0.55347,0.52656,0.25939,2.55393,14.3641,1.66328,0.0047003,0.0047003,0.0047003
8,246.174,2.25472,12.2608,1.63891,0.54758,0.60625,0.60834,0.31162,2.3812,11.8212,1.57376,0.00465035,0.00465035,0.00465035
9,278,2.28928,11.6223,1.65265,0.60227,0.53052,0.60161,0.27272,2.62523,13.0692,1.71693,0.0046004,0.0046004,0.0046004
10,309.914,2.28461,11.1816,1.64327,0.58277,0.58517,0.59313,0.25752,2.74921,13.3862,1.80298,0.00455045,0.00455045,0.00455045
11,342.077,2.2388,10.6652,1.61631,0.61766,0.54889,0.60737,0.28762,2.55534,12.1793,1.69148,0.0045005,0.0045005,0.0045005
12,373.366,2.19648,10.6808,1.62817,0.59978,0.59349,0.63917,0.29642,2.59328,11.2851,1.71573,0.00445055,0.00445055,0.00445055
13,405.386,2.22067,10.3803,1.60187,0.61498,0.56132,0.62701,0.29985,2.60397,11.3053,1.70143,0.0044006,0.0044006,0.0044006
14,437.565,2.20935,9.96311,1.60557,0.58423,0.62969,0.65715,0.30153,2.56361,11.3391,1.65518,0.00435065,0.00435065,0.00435065
15,469.482,2.20424,10.0749,1.58618,0.73094,0.58235,0.68266,0.3272,2.49393,10.6468,1.60327,0.0043007,0.0043007,0.0043007
16,501.646,2.22553,9.6304,1.61731,0.70006,0.63359,0.68942,0.31685,2.61079,9.92658,1.65141,0.00425075,0.00425075,0.00425075
17,534.223,2.19465,9.67969,1.60301,0.68807,0.65622,0.6828,0.32259,2.56898,9.75467,1.67,0.0042008,0.0042008,0.0042008
18,567.703,2.16767,9.36733,1.57451,0.59534,0.63331,0.6516,0.33561,2.40455,10.4908,1.6047,0.00415085,0.00415085,0.00415085
19,600.239,2.14011,9.05548,1.56167,0.66521,0.6243,0.6458,0.32658,2.52533,9.98685,1.64768,0.0041009,0.0041009,0.0041009
20,632.297,2.16865,9.00982,1.56282,0.68943,0.65348,0.66946,0.31844,2.6432,9.66691,1.75871,0.00405095,0.00405095,0.00405095
21,665.381,2.10583,8.80194,1.56497,0.63067,0.68589,0.6757,0.35126,2.45134,8.89598,1.61005,0.004001,0.004001,0.004001
