epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4993,1.87798,17.8501,2.09726,0.52773,0.21897,0.19265,0.10332,1.70475,14.3784,1.74507,0.000106337,0.000106337,0.000106337
2,64.8899,1.72319,13.1687,1.83067,0.38108,0.43743,0.3652,0.15987,1.96663,12.1181,2.11527,0.000211885,0.000211885,0.000211885
3,87.6576,1.74471,11.5312,1.85939,0.39399,0.42377,0.3955,0.17743,1.94031,10.4431,2.02402,0.000315302,0.000315302,0.000315302
4,110.499,1.74573,10.978,1.83931,0.47431,0.46814,0.49902,0.2357,1.89447,9.51096,1.96921,0.000313407,0.000313407,0.000313407
5,133.94,1.70746,9.69767,1.83511,0.46253,0.46469,0.46339,0.2232,1.93117,9.22389,2.02736,0.000310209,0.000310209,0.000310209
6,158.599,1.73731,9.61303,1.8396,0.55985,0.50195,0.52272,0.24198,1.95726,8.96733,2.01193,0.000307011,0.000307011,0.000307011
7,181.971,1.73452,9.29797,1.83056,0.52292,0.46931,0.51589,0.23567,1.99799,8.38109,2.07183,0.000303814,0.000303814,0.000303814
8,205.468,1.6982,8.44875,1.78708,0.51771,0.54766,0.5534,0.27333,1.9267,8.65508,2.04569,0.000300616,0.000300616,0.000300616
9,229.429,1.6825,8.44664,1.80629,0.60844,0.61758,0.6476,0.28377,1.96439,8.24792,1.99781,0.000297418,0.000297418,0.000297418
10,253.427,1.67621,7.91385,1.74539,0.61695,0.56132,0.5975,0.24024,2.13712,8.85558,2.2025,0.000294221,0.000294221,0.000294221
11,276.81,1.66584,8.15088,1.76845,0.6803,0.56229,0.61867,0.27906,1.9273,7.92906,2.03312,0.000291023,0.000291023,0.000291023
12,300.367,1.66809,7.77584,1.78438,0.57875,0.60183,0.5898,0.28824,1.9062,7.26357,1.95261,0.000287825,0.000287825,0.000287825
13,324.544,1.67593,7.81389,1.78692,0.60968,0.61534,0.64775,0.30546,1.87741,7.01467,1.9354,0.000284628,0.000284628,0.000284628
14,349.076,1.62794,7.11762,1.76567,0.66746,0.56471,0.65618,0.29667,1.99437,8.12398,2.04254,0.00028143,0.00028143,0.00028143
15,372.594,1.66023,7.20949,1.79291,0.729,0.61375,0.65768,0.28067,2.09285,7.08727,2.18299,0.000278232,0.000278232,0.000278232
16,396.046,1.62447,6.87097,1.71925,0.61202,0.62816,0.66048,0.32655,1.88098,7.27141,1.91386,0.000275035,0.000275035,0.000275035
17,419.657,1.61911,6.73423,1.76553,0.65596,0.63241,0.67301,0.29971,2.07119,6.88828,2.10039,0.000271837,0.000271837,0.000271837
18,443.068,1.62862,6.9015,1.73592,0.70824,0.67271,0.70142,0.3406,1.82867,6.37983,1.86207,0.000268639,0.000268639,0.000268639
19,467.332,1.57839,6.23083,1.71887,0.68454,0.70321,0.7015,0.33957,1.85327,6.38173,1.92478,0.000265441,0.000265441,0.000265441
20,490.05,1.59575,6.43411,1.72608,0.72245,0.66031,0.70176,0.3533,1.81491,6.42447,1.89703,0.000262244,0.000262244,0.000262244
21,514.209,1.5642,6.22257,1.70583,0.76616,0.65,0.70417,0.35407,1.88006,6.42736,1.91492,0.000259046,0.000259046,0.000259046
22,535.908,1.54438,6.09592,1.72215,0.74052,0.67344,0.72603,0.34265,2.02159,6.25388,2.03328,0.000255848,0.000255848,0.000255848
