epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0712,1.72388,13.0947,1.95357,0.33297,0.31118,0.24335,0.12685,1.72442,10.6314,1.85755,0.000105673,0.000105673,0.000105673
2,62.3221,1.54457,9.02927,1.66586,0.41136,0.43051,0.41834,0.22707,1.7,8.73573,1.85031,0.000211227,0.000211227,0.000211227
3,83.6045,1.53296,7.29407,1.6489,0.4773,0.40507,0.43803,0.21413,1.82438,7.59036,2.03681,0.00031465,0.00031465,0.00031465
4,105.349,1.53914,6.38729,1.6355,0.5889,0.54752,0.5773,0.29667,1.73876,5.9936,1.95593,0.000313407,0.000313407,0.000313407
5,127.836,1.51408,6.11934,1.62507,0.51021,0.49254,0.48362,0.23437,1.89635,7.34818,2.1737,0.000310209,0.000310209,0.000310209
6,150.684,1.58504,5.98127,1.68567,0.52413,0.50589,0.53819,0.26894,1.82196,5.95012,2.01064,0.000307011,0.000307011,0.000307011
7,173.166,1.50063,5.65209,1.6369,0.67131,0.60136,0.65405,0.31893,1.855,5.48008,1.94063,0.000303814,0.000303814,0.000303814
8,195.562,1.48562,5.11153,1.61144,0.5769,0.50839,0.54305,0.28204,1.77203,6.34181,1.88311,0.000300616,0.000300616,0.000300616
9,217.577,1.48283,5.10028,1.60173,0.65233,0.62917,0.67207,0.32678,1.87439,5.29165,1.95073,0.000297418,0.000297418,0.000297418
10,239.945,1.49581,4.63453,1.56778,0.65888,0.61201,0.65822,0.33048,1.75883,5.2872,1.9389,0.000294221,0.000294221,0.000294221
11,262.396,1.41746,4.5728,1.55924,0.69194,0.67648,0.71084,0.36487,1.75787,4.88957,1.86485,0.000291023,0.000291023,0.000291023
12,284.504,1.43623,4.33831,1.56776,0.7291,0.62577,0.70526,0.35688,1.78409,4.93049,1.91153,0.000287825,0.000287825,0.000287825
13,306.947,1.44112,4.31395,1.5637,0.70415,0.61766,0.66763,0.33489,1.80549,4.87829,1.92453,0.000284628,0.000284628,0.000284628
14,328.676,1.4156,4.18248,1.5536,0.64795,0.6117,0.6688,0.31433,1.92606,5.39633,2.08586,0.00028143,0.00028143,0.00028143
15,350.335,1.42136,4.15308,1.57019,0.71446,0.66375,0.70925,0.38802,1.67555,4.44134,1.78358,0.000278232,0.000278232,0.000278232
16,372.719,1.3525,3.82539,1.50698,0.71587,0.66711,0.71919,0.39631,1.66546,4.60715,1.84122,0.000275035,0.000275035,0.000275035
17,395.009,1.35022,3.83615,1.50501,0.74373,0.65167,0.72406,0.38568,1.76039,4.48532,1.91399,0.000271837,0.000271837,0.000271837
18,417.265,1.33031,3.59232,1.4652,0.77779,0.6521,0.73245,0.37759,1.73545,4.57053,1.88571,0.000268639,0.000268639,0.000268639
19,438.692,1.29914,3.66455,1.47972,0.80151,0.71446,0.74902,0.40077,1.71669,4.20658,1.87579,0.000265441,0.000265441,0.000265441
20,460.088,1.34323,3.58483,1.51497,0.79064,0.61384,0.69316,0.39304,1.70175,4.26773,1.89144,0.000262244,0.000262244,0.000262244
21,481.614,1.32167,3.4785,1.45801,0.76186,0.67214,0.73343,0.41957,1.68436,4.16408,1.83465,0.000259046,0.000259046,0.000259046
22,502.9,1.31998,3.35647,1.47997,0.81682,0.68715,0.77249,0.43438,1.71241,4.18353,1.87902,0.000255848,0.000255848,0.000255848
23,524.178,1.25869,3.24874,1.41965,0.67478,0.66181,0.68296,0.39121,1.73863,4.67242,1.88499,0.000252651,0.000252651,0.000252651
24,545.421,1.3116,3.28312,1.47081,0.75169,0.62443,0.71727,0.39601,1.71836,4.19935,1.87727,0.000249453,0.000249453,0.000249453
25,567,1.27145,3.23356,1.43234,0.76766,0.71267,0.75431,0.43192,1.66672,3.81034,1.86312,0.000246255,0.000246255,0.000246255
26,588.593,1.27174,3.1656,1.43725,0.79892,0.71615,0.75839,0.42321,1.65533,3.88618,1.7819,0.000243057,0.000243057,0.000243057
27,610.155,1.29571,3.15598,1.4398,0.78957,0.67763,0.7362,0.42972,1.65478,3.86355,1.80922,0.00023986,0.00023986,0.00023986
28,631.594,1.24968,3.00092,1.42346,0.84252,0.67257,0.7491,0.43206,1.68354,4.06984,1.84364,0.000236662,0.000236662,0.000236662
29,652.995,1.23714,2.9675,1.42137,0.74352,0.70672,0.74524,0.43274,1.68454,4.0797,1.86643,0.000233464,0.000233464,0.000233464
30,674.754,1.24074,2.89111,1.40482,0.79567,0.7187,0.75186,0.43372,1.67301,3.98689,1.83819,0.000230267,0.000230267,0.000230267
31,695.926,1.21139,2.91532,1.40023,0.80098,0.70884,0.74589,0.45327,1.56435,4.26607,1.79746,0.000227069,0.000227069,0.000227069
32,717.418,1.18332,2.71725,1.40378,0.79473,0.67644,0.75614,0.44659,1.57796,4.14748,1.8046,0.000223871,0.000223871,0.000223871
33,738.402,1.20988,2.79614,1.41048,0.67943,0.71625,0.72546,0.41811,1.69919,3.97093,1.88013,0.000220674,0.000220674,0.000220674
34,760.028,1.21093,2.83828,1.40186,0.83883,0.70637,0.77734,0.4442,1.6015,3.80801,1.7687,0.000217476,0.000217476,0.000217476
